Date,Location,Casualties,Type,Latitude,Longitude
201110,United States,3,Transport,40.73061,-73.935242
201312,London,1,Transport,51.509865,-0.118092
201403,Spain,1,Electrocution,40.416775,-3.70379
201404,North Carolina,1,Transport,35.782169,-80.793457
205106,Russia,1,Fall,61.524,105.3188
201405,India,1,Transport,20.5937,78.9629
201405,United States,2,Transport,40.73061,-73.935242
201406,"Taranto, Italy",1,Fall,40.466667,17.233334
201407,"Pasig, Phillipines",1,Fall,14.5869,121.0614
201408,Phillippines,1,Firearm,14.6042,120.9822
201408,Mexico,1,Firearm,19.432608,-99.133209
201408,Portugal,2,Fall,41.1496,8.611
201408,"Kerala, India",1,Electrocution,10.850516,76.27108
201408,Portland,1,Transport,45.523064,-122.676483
201410,Phillipines,1,Drowned,14.6042,120.9822
201411,"Seville, Spain",1,Fall,37.3828,5.9732
201501,Johannesburg,1,Fall,-26.195246,28.034088
201501,Ural Mountains,2,Other,61.524,105.3188
201501,Kosikala,3,Transport,27.7902,77.438643
201502,Mumbai,1,Transport,20.745532,72.78044
201502,"Kalama, Washington",1,Transport,46.008447,-122.844551
201503,"Kuhi, India",7,Drowned,21.017248,79.367675
201504,"Sremska Mitrovica, Serbia",1,Transport,44.979497,19.620966
201504,"Trentino-Alto Adige, Italy",1,Fall,46.433666,11.169329
201505,"Lasi, Romania",2,Electrocution,47.158455,27.601442
201505,"Ryzan Oblast, Russia",1,Electrocution,54.609542,39.712586
201505,Russia,1,Firearm,61.524,105.3188
201505,"Mount Merapi, Indonesia",1,Fall,-7.540717,110.445724
201505,"Nusa Lembongan, Indonesia",1,Fall,-8.678583,115.455586
201506,Pakistan,1,Firearm,30.375319,69.345116
201506,"Taganrog, Russia",2,Electrocution,47.297666,38.71328
201506,"Plitvice Lakes National Park, Croatia",1,Fall,44.868229,15.574561
201507,"Moscow International Business Center, Russia",1,Fall,55.752543,37.528303
201507,San Diego,1,Animal,32.994933,-117.785135
201507,Yellowstone National Park,1,Animal,44.43512,-110.607131
201507,"Brecon Beacons, United Kingdom",1,Electrocution,51.888616,-3.465088
201507,"Pagudpud, Phillipines",1,Transport,18.669068,120.661367
201508,"Villaseca de la Sagra, Spain",1,Animal,39.965275,-3.89168
201508,"Zhejiang, China",1,Fall,31.379394,114.690937
201508,Russia,1,Electrocution,61.524,105.3188
201509,Houston,1,Firearm,30.04645,-95.988944
201509,"Agra, India",1,Fall,27.250277,77.853535
201509,"Vologda, Russia",1,Fall,59.260303,39.743414
201509,"Kolli Hills, India",1,Fall,11.413445,78.024697
201510,Barcelona,1,Electrocution,41.446635,2.020008
201510,"El Tatio Geyser, Chile",1,Other,-22.331919,-68.018208
201511,"Narmada Canal, India",2,Drowned,24.886623,71.971748
201511,"West Bengal, India",2,Transport,25.338701,82.838499
201511,"Nahur Station, Mumbai India",1,Electrocution,19.159193,72.94115
