Line: 0, Characters: 160, Commas: 21
Line: 1, Characters: 198, Commas: 22
Line: 2, Characters: 198, Commas: 22
Line: 3, Characters: 184, Commas: 22
Line: 4, Characters: 189, Commas: 22
Line: 5, Characters: 188, Commas: 22
Line: 6, Characters: 240, Commas: 22
Line: 7, Characters: 183, Commas: 22
Line: 8, Characters: 190, Commas: 22
Line: 9, Characters: 181, Commas: 22
Line: 10, Characters: 204, Commas: 22
Line: 11, Characters: 174, Commas: 22
Line: 12, Characters: 187, Commas: 22
Line: 13, Characters: 218, Commas: 22
Line: 14, Characters: 217, Commas: 22
Line: 15, Characters: 179, Commas: 22
Line: 16, Characters: 223, Commas: 22
Line: 17, Characters: 221, Commas: 22
Line: 18, Characters: 202, Commas: 22
Line: 19, Characters: 206, Commas: 23
Line: 20, Characters: 216, Commas: 23
Line: 21, Characters: 227, Commas: 22
Line: 22, Characters: 173, Commas: 22
Line: 23, Characters: 211, Commas: 22
Line: 24, Characters: 199, Commas: 22
Line: 25, Characters: 177, Commas: 22
Line: 26, Characters: 213, Commas: 22
Line: 27, Characters: 227, Commas: 22
Line: 28, Characters: 217, Commas: 22
Line: 29, Characters: 189, Commas: 22
Line: 30, Characters: 184, Commas: 22
Line: 31, Characters: 185, Commas: 22
Line: 32, Characters: 183, Commas: 22
Line: 33, Characters: 211, Commas: 22
Line: 34, Characters: 204, Commas: 22
Line: 35, Characters: 190, Commas: 22
Line: 36, Characters: 241, Commas: 22
Line: 37, Characters: 209, Commas: 22
Line: 38, Characters: 189, Commas: 22
Line: 39, Characters: 203, Commas: 22
Line: 40, Characters: 209, Commas: 22
Line: 41, Characters: 237, Commas: 22
Line: 42, Characters: 182, Commas: 22
Line: 43, Characters: 241, Commas: 22
Line: 44, Characters: 211, Commas: 22
Line: 45, Characters: 220, Commas: 22
Line: 46, Characters: 189, Commas: 22
Line: 47, Characters: 218, Commas: 22
Line: 48, Characters: 203, Commas: 22
Line: 49, Characters: 217, Commas: 22
Line: 50, Characters: 216, Commas: 22
Line: 51, Characters: 201, Commas: 22
Line: 52, Characters: 212, Commas: 22
Line: 53, Characters: 188, Commas: 22
Line: 54, Characters: 188, Commas: 22
Line: 55, Characters: 213, Commas: 22
Line: 56, Characters: 216, Commas: 22
Line: 57, Characters: 242, Commas: 22
Line: 58, Characters: 221, Commas: 22
Line: 59, Characters: 240, Commas: 22
Line: 60, Characters: 186, Commas: 22
Line: 61, Characters: 215, Commas: 22
Line: 62, Characters: 213, Commas: 22
Line: 63, Characters: 207, Commas: 22
Line: 64, Characters: 221, Commas: 22
Line: 65, Characters: 192, Commas: 22
Line: 66, Characters: 205, Commas: 22
Line: 67, Characters: 189, Commas: 22
Line: 68, Characters: 204, Commas: 22
Line: 69, Characters: 179, Commas: 22
Line: 70, Characters: 191, Commas: 22
Line: 71, Characters: 180, Commas: 22
Line: 72, Characters: 242, Commas: 22
Line: 73, Characters: 186, Commas: 22
Line: 74, Characters: 206, Commas: 22
Line: 75, Characters: 221, Commas: 22
Line: 76, Characters: 187, Commas: 22
Line: 77, Characters: 220, Commas: 22
Line: 78, Characters: 202, Commas: 22
Line: 79, Characters: 204, Commas: 22
Line: 80, Characters: 183, Commas: 22
Line: 81, Characters: 189, Commas: 22
Line: 82, Characters: 221, Commas: 22
Line: 83, Characters: 211, Commas: 22
Line: 84, Characters: 219, Commas: 22
Line: 85, Characters: 215, Commas: 22
Line: 86, Characters: 183, Commas: 22
Line: 87, Characters: 240, Commas: 22
Line: 88, Characters: 205, Commas: 22
Line: 89, Characters: 177, Commas: 22
Line: 90, Characters: 186, Commas: 22
Line: 91, Characters: 186, Commas: 22
Line: 92, Characters: 212, Commas: 22
Line: 93, Characters: 184, Commas: 22
Line: 94, Characters: 207, Commas: 22
Line: 95, Characters: 186, Commas: 22
Line: 96, Characters: 190, Commas: 22
Line: 97, Characters: 225, Commas: 22
Line: 98, Characters: 184, Commas: 22
Line: 99, Characters: 221, Commas: 22
Line: 100, Characters: 193, Commas: 22
Line: 101, Characters: 201, Commas: 22
Line: 102, Characters: 202, Commas: 22
Line: 103, Characters: 219, Commas: 22
Line: 104, Characters: 215, Commas: 22
Line: 105, Characters: 188, Commas: 22
Line: 106, Characters: 190, Commas: 22
Line: 107, Characters: 216, Commas: 22
Line: 108, Characters: 190, Commas: 22
Line: 109, Characters: 204, Commas: 22
Line: 110, Characters: 213, Commas: 22
Line: 111, Characters: 193, Commas: 22
Line: 112, Characters: 204, Commas: 22
Line: 113, Characters: 201, Commas: 22
Line: 114, Characters: 196, Commas: 22
Line: 115, Characters: 210, Commas: 22
Line: 116, Characters: 238, Commas: 22
Line: 117, Characters: 179, Commas: 22
Line: 118, Characters: 191, Commas: 22
Line: 119, Characters: 182, Commas: 22
Line: 120, Characters: 193, Commas: 22
Line: 121, Characters: 216, Commas: 22
Line: 122, Characters: 223, Commas: 22
Line: 123, Characters: 213, Commas: 22
Line: 124, Characters: 219, Commas: 22
Line: 125, Characters: 220, Commas: 22
Line: 126, Characters: 189, Commas: 22
Line: 127, Characters: 222, Commas: 22
Line: 128, Characters: 184, Commas: 22
Line: 129, Characters: 194, Commas: 22
Line: 130, Characters: 241, Commas: 22
Line: 131, Characters: 219, Commas: 22
Line: 132, Characters: 257, Commas: 22
Line: 133, Characters: 206, Commas: 22
Line: 134, Characters: 236, Commas: 22
Line: 135, Characters: 166, Commas: 22
Line: 136, Characters: 213, Commas: 22
Line: 137, Characters: 217, Commas: 22
Line: 138, Characters: 214, Commas: 22
Line: 139, Characters: 187, Commas: 22
Line: 140, Characters: 213, Commas: 22
Line: 141, Characters: 219, Commas: 23
Line: 142, Characters: 187, Commas: 22
Line: 143, Characters: 216, Commas: 22
Line: 144, Characters: 191, Commas: 22
Line: 145, Characters: 217, Commas: 22
Line: 146, Characters: 197, Commas: 22
Line: 147, Characters: 216, Commas: 22
Line: 148, Characters: 189, Commas: 22
Line: 149, Characters: 182, Commas: 22
Line: 150, Characters: 181, Commas: 22
Line: 151, Characters: 188, Commas: 22
Line: 152, Characters: 221, Commas: 22
Line: 153, Characters: 242, Commas: 22
Line: 154, Characters: 189, Commas: 22
