OBJECTID,SID,BASIN,SUBBASIN,NAME,NATURE,year,month,day,Hurricane_Date,LAT,LON,USA_WIND,USA_PRES,geometry
688160,2022148N13263,EP,MM,Agatha,DS,2022,5,27,1653710400000,12.9,-97.3,25,1008,"LINESTRING (-97.3000488280573 12.899999618655, -97.4999999996032 12.8000001904575)"
688161,2022148N13263,EP,MM,Agatha,DS,2022,5,27,1653710400000,12.8,-97.5,28,1007,"LINESTRING (-97.4999999996032 12.8000001904575, -97.6999511720473 12.8000001904575)"
688162,2022148N13263,EP,MM,Agatha,TS,2022,5,28,1653796800000,12.8,-97.7,30,1006,"LINESTRING (-97.6999511720473 12.8000001904575, -97.8000488280876 12.8000001904575)"
688163,2022148N13263,EP,MM,Agatha,TS,2022,5,28,1653796800000,12.8,-97.8,33,1005,"LINESTRING (-97.8000488280876 12.8000001904575, -97.9000244138605 12.899999618655)"
688164,2022148N13263,EP,MM,Agatha,TS,2022,5,28,1653796800000,12.9,-97.9,35,1004,"LINESTRING (-97.9000244138605 12.899999618655, -97.9000244138605 13.0000000001707)"
688165,2022148N13263,EP,MM,Agatha,TS,2022,5,28,1653796800000,13.0,-97.9,38,1003,"LINESTRING (-97.9000244138605 13.0000000001707, -97.9000244138605 13.1999998090985)"
688166,2022148N13263,EP,MM,Agatha,TS,2022,5,28,1653796800000,13.2,-97.9,40,1002,"LINESTRING (-97.9000244138605 13.1999998090985, -97.9999999996334 13.399999618159)"
688167,2022148N13263,EP,MM,Agatha,TS,2022,5,28,1653796800000,13.4,-98.0,45,1000,"LINESTRING (-97.9999999996334 13.399999618159, -98.1999511720775 13.6000003815828)"
688168,2022148N13263,EP,MM,Agatha,TS,2022,5,28,1653796800000,13.6,-98.2,50,998,"LINESTRING (-98.1999511720775 13.6000003815828, -98.4999999996636 13.6999998096696)"
688169,2022148N13263,EP,MM,Agatha,TS,2022,5,28,1653796800000,13.7,-98.5,53,997,"LINESTRING (-98.4999999996636 13.6999998096696, -98.800048828148 13.8000001903407)"
688170,2022148N13263,EP,MM,Agatha,TS,2022,5,29,1653883200000,13.8,-98.8,55,996,"LINESTRING (-98.800048828148 13.8000001903407, -98.9999999996938 13.8999996188537)"
688171,2022148N13263,EP,MM,Agatha,TS,2022,5,29,1653883200000,13.9,-99.0,60,994,"LINESTRING (-98.9999999996938 13.8999996188537, -99.0999755863651 13.8999996188537)"
688172,2022148N13263,EP,MM,Agatha,TS,2022,5,29,1653883200000,13.9,-99.1,65,992,"LINESTRING (-99.0999755863651 13.8999996188537, -99.0999755863651 14.0000000003359)"
688173,2022148N13263,EP,MM,Agatha,TS,2022,5,29,1653883200000,14.0,-99.1,70,987,"LINESTRING (-99.0999755863651 14.0000000003359, -99.0899658199525 14.0000000003359)"
688174,2022148N13263,EP,MM,Agatha,TS,2022,5,29,1653883200000,14.0,-99.09,75,981,"LINESTRING (-99.0899658199525 14.0000000003359, -98.9999999996938 14.0000000003359)"
688175,2022148N13263,EP,MM,Agatha,TS,2022,5,29,1653883200000,14.0,-99.0,85,973,"LINESTRING (-98.9999999996938 14.0000000003359, -98.9000244139209 14.0000000003359)"
688176,2022148N13263,EP,MM,Agatha,TS,2022,5,29,1653883200000,14.0,-98.9,95,964,"LINESTRING (-98.9000244139209 14.0000000003359, -98.6999511721078 14.1000003816827)"
688177,2022148N13263,EP,MM,Agatha,TS,2022,5,29,1653883200000,14.1,-98.7,95,964,"LINESTRING (-98.6999511721078 14.1000003816827, -98.4999999996636 14.3000001906163)"
688178,2022148N13263,EP,MM,Agatha,TS,2022,5,30,1653969600000,14.3,-98.5,95,964,"LINESTRING (-98.4999999996636 14.3000001906163, -98.3000488281178 14.3999996189063)"
688179,2022148N13263,EP,MM,Agatha,TS,2022,5,30,1653969600000,14.4,-98.3,93,966,"LINESTRING (-98.3000488281178 14.3999996189063, -97.9999999996334 14.6000003816703)"
688180,2022148N13263,EP,MM,Agatha,TS,2022,5,30,1653969600000,14.6,-98.0,90,968,"LINESTRING (-97.9999999996334 14.6000003816703, -97.6999511720473 14.8000001909962)"
688181,2022148N13263,EP,MM,Agatha,TS,2022,5,30,1653969600000,14.8,-97.7,88,974,"LINESTRING (-97.6999511720473 14.8000001909962, -97.4000244138303 14.9999999999315)"
688182,2022148N13263,EP,MM,Agatha,TS,2022,5,30,1653969600000,15.0,-97.4,85,979,"LINESTRING (-97.4000244138303 14.9999999999315, -97.1999511720171 15.1999998096178)"
688183,2022148N13263,EP,MM,Agatha,TS,2022,5,30,1653969600000,15.2,-97.2,88,977,"LINESTRING (-97.1999511720171 15.1999998096178, -96.9000244138001 15.3999996183638)"
688184,2022148N13263,EP,MM,Agatha,TS,2022,5,30,1653969600000,15.4,-96.9,90,974,"LINESTRING (-96.9000244138001 15.3999996183638, -96.599975586214 15.6999998089531)"
688185,2022148N13263,EP,MM,Agatha,TS,2022,5,30,1653969600000,15.7,-96.6,90,971,"LINESTRING (-96.599975586214 15.6999998089531, -96.4000244137698 15.8999996181267)"
688186,2022148N13263,EP,MM,Agatha,TS,2022,5,31,1654056000000,15.9,-96.4,70,983,"LINESTRING (-96.4000244137698 15.8999996181267, -96.0999755861838 16.2000007632744)"
688187,2022148N13263,EP,MM,Agatha,TS,2022,5,31,1654056000000,16.2,-96.1,60,991,"LINESTRING (-96.0999755861838 16.2000007632744, -95.8000488279667 16.5000000004248)"
688188,2022148N13263,EP,MM,Agatha,TS,2022,5,31,1654056000000,16.5,-95.8,50,998,"LINESTRING (-95.8000488279667 16.5000000004248, -95.5000000003807 16.7000007632677)"
688189,2022148N13263,EP,MM,Agatha,TS,2022,5,31,1654056000000,16.7,-95.5,40,1001,"LINESTRING (-95.5000000003807 16.7000007632677, -95.3000488279365 17.0000000001936)"
688190,2022148N13263,EP,MM,Agatha,TS,2022,5,31,1654056000000,17.0,-95.3,30,1004,"LINESTRING (-95.3000488279365 17.0000000001936, -95.0999755861233 17.3999996185845)"
688191,2022148N13263,EP,MM,Agatha,TS,2022,5,31,1654056000000,17.4,-95.1,25,1005,"LINESTRING (-95.0999755861233 17.3999996185845, -94.9000244136792 17.7000007626176)"
688192,2022148N13263,EP,MM,Agatha,DS,2022,5,31,1654056000000,17.7,-94.9,20,1005,"LINESTRING (-94.9000244136792 17.7000007626176, -94.8000488279063 17.8999996181107)"
688193,2022148N13263,EP,MM,Agatha,DS,2022,5,31,1654056000000,17.9,-94.8,20,1006,"LINESTRING (-94.8000488279063 17.8999996181107, -94.699951171866 18.000000000422)"
688194,2022148N13263,EP,MM,Agatha,DS,2022,6,1,1654142400000,18.0,-94.7,20,1006,"LINESTRING (-94.699951171866 18.000000000422, -94.5999755860932 18.1000003812774)"
688195,2022148N13263,EP,MM,Agatha,DS,2022,6,1,1654142400000,18.1,-94.6,20,1007,"LINESTRING (-94.5999755860932 18.1000003812774, -94.5999755860932 18.2999992368814)"
688196,2022154N21273,NA,NA,Alex,DS,2022,6,2,1654228800000,21.3,-87.5,30,1004,"LINESTRING (-87.4999999998973 21.2999992373339, -87.4000244141243 21.5000000001851)"
688197,2022154N21273,NA,GM,Alex,DS,2022,6,2,1654228800000,21.5,-87.4,30,1004,"LINESTRING (-87.4000244141243 21.5000000001851, -87.3000488283514 21.6000003812848)"
688198,2022154N21273,NA,GM,Alex,DS,2022,6,3,1654315200000,21.6,-87.3,30,1003,"LINESTRING (-87.3000488283514 21.6000003812848, -87.1999511723112 21.7000007630682)"
688199,2022154N21273,NA,GM,Alex,DS,2022,6,3,1654315200000,21.7,-87.2,33,1003,"LINESTRING (-87.1999511723112 21.7000007630682, -87.09997558564 21.8999996185335)"
688200,2022154N21273,NA,GM,Alex,DS,2022,6,3,1654315200000,21.9,-87.1,35,1003,"LINESTRING (-87.09997558564 21.8999996185335, -86.999999999867 21.9999999996193)"
688201,2022154N21273,NA,GM,Alex,DS,2022,6,3,1654315200000,22.0,-87.0,35,1003,"LINESTRING (-86.999999999867 21.9999999996193, -86.9000244140941 22.2000007631004)"
